  x      sigx     y      sigy  
-11.6162 0.1195 -10.5329 0.1349 
-11.5921 0.1080 -10.5163 0.1314 
-11.5842 0.1025 -10.5311 0.1234 
-11.5479 0.0823 -10.5156 0.1207 
-11.5256 0.0734 -10.5419 0.1354 
-11.5134 0.0705 -10.5781 0.1347 
-11.3982 0.0732 -10.6460 0.1306 
-11.4385 0.0796 -10.8014 0.1281 
-11.1763 0.0989 -10.6019 0.1577 
-11.2116 0.0976 -10.6130 0.1562 
-11.2474 0.0957 -10.6349 0.1547 
-11.2512 0.0954 -10.6009 0.1454 
-11.3073 0.0914 -10.6730 0.1483 
-11.3232 0.0899 -10.6562 0.1524 
-11.3287 0.0876 -10.6633 0.1513 
-11.3864 0.0834 -10.6631 0.1503 
-11.7562 0.1086 -11.3931 0.0398 
-11.5628 0.0904 -11.0140 0.0412 
-11.5473 0.0871 -11.0109 0.0920 
-11.5514 0.0852 -10.9972 0.0842 
-11.5708 0.0819 -10.9389 0.0469 
-11.6113 0.0824 -10.9694 0.0424 
-11.5347 0.0799 -10.9988 0.0478 
-11.5126 0.0776 -10.9563 0.0375 
-11.5170 0.0770 -10.9576 0.0370 
-11.5040 0.0761 -10.9489 0.0491 
-11.4992 0.0757 -10.9379 0.0436 
-11.4822 0.0733 -10.9055 0.0395 
-11.4666 0.0710 -10.8746 0.0375 
-11.4766 0.0698 -10.8736 0.0498 
-11.4801 0.0688 -10.8758 0.0370 
-11.4873 0.0684 -10.8632 0.0399 
-11.4793 0.0680 -10.8360 0.0643 
-11.4771 0.0679 -10.8740 0.0785 
-11.5134 0.0679 -10.8777 0.0888 
-11.5089 0.0679 -10.8225 0.0399 
-11.4902 0.0681 -10.8463 0.0579 
-11.4922 0.0687 -10.8342 0.0707 
-9.3349 0.1046 -9.9077 0.0617 
-9.4889 0.1010 -9.7409 0.0666 
-9.6115 0.0966 -9.5986 0.0467 
-9.6837 0.0924 -9.5193 0.0455 
-9.7333 0.0885 -9.5449 0.0450 
-9.7990 0.0845 -9.5894 0.0455 
-9.8626 0.0810 -9.6018 0.0451 
-9.9045 0.0778 -9.6122 0.0452 
-9.9243 0.0768 -9.6426 0.0465 
-9.9411 0.0776 -9.6485 0.0482 
-9.9609 0.0791 -9.6829 0.0475 
-9.9855 0.0807 -9.7429 0.0501 
-10.0140 0.0821 -9.7711 0.0504 
-10.0434 0.0824 -9.8004 0.0467 
-10.0713 0.0824 -9.8033 0.0511 
-10.1071 0.0818 -9.8505 0.0487 
-10.1383 0.0810 -9.8430 0.0475 
-10.1577 0.0806 -9.8858 0.0470 
-10.1729 0.0803 -9.8901 0.0507 
-10.2034 0.0798 -9.8977 0.0468 
-10.2340 0.0796 -9.9150 0.0469 
-10.2577 0.0795 -9.9405 0.0487 
-10.2898 0.0794 -9.9777 0.0727 
-10.3209 0.0793 -9.9746 0.0671 
-10.3585 0.0791 -10.0436 0.0888 
-10.3967 0.0777 -10.0146 0.0556 
-10.4352 0.0756 -10.0885 0.0734 
-10.4608 0.0745 -10.0727 0.0895 
-10.4777 0.0738 -10.0907 0.0458 
-10.5269 0.0732 -10.1347 0.0517 
-10.5569 0.0731 -10.1173 0.0483 
-11.2830 0.0716 -10.9586 0.1594 
-11.2585 0.0724 -10.9105 0.1553 
-11.2407 0.0730 -10.8526 0.1520 
-11.2322 0.0734 -10.8029 0.1495 
-11.2344 0.0738 -10.7768 0.1479 
-11.2718 0.0736 -10.8354 0.1475 
-11.3170 0.0727 -10.8568 0.1469 
-11.3995 0.0727 -10.9168 0.1471 
-10.4146 0.1041 -9.7054 0.0834 
-10.4009 0.1037 -9.7334 0.0801 
-10.3923 0.1034 -9.7459 0.0731 
-10.3825 0.1031 -9.7605 0.0682 
-10.3741 0.1027 -9.7643 0.0726 
-10.3628 0.1024 -9.7706 0.0802 
-10.3597 0.1022 -9.7632 0.0861 
-10.3586 0.1018 -9.7885 0.0858 
-10.3653 0.1014 -9.7883 0.0895 
-10.3733 0.1009 -9.8013 0.0827 
-10.3880 0.1004 -9.7861 0.0822 
-10.4027 0.0997 -9.8186 0.0886 
-10.4175 0.0990 -9.8120 0.0756 
-10.4301 0.0983 -9.8245 0.0776 
-10.4428 0.0977 -9.8180 0.0808 
-10.4570 0.0968 -9.8354 0.0834 
-11.0214 0.0773 -10.3047 0.0403 
-11.1764 0.0761 -10.3676 0.0372 
-11.3225 0.0761 -10.4106 0.0501 
-11.4493 0.0768 -10.4585 0.0381 
-10.8042 0.0737 -10.6038 0.0650 
-10.8180 0.0724 -10.6113 0.0348 
-10.8317 0.0708 -10.5768 0.0546 
-10.8407 0.0690 -10.5268 0.0718 
-10.8500 0.0680 -10.5024 0.0605 
-10.8721 0.0678 -10.5090 0.0424 
-10.8970 0.0679 -10.5130 0.0267 
-10.9240 0.0681 -10.5367 0.0376 
-10.9507 0.0682 -10.5245 0.0380 
-10.9753 0.0682 -10.5250 0.0348 
-10.9987 0.0682 -10.5397 0.0554 
-11.0174 0.0682 -10.5604 0.0783 
-11.0437 0.0681 -10.5917 0.0531 
-11.0756 0.0680 -10.6044 0.0472 
-11.1097 0.0679 -10.6447 0.0631 
-11.1516 0.0678 -10.6698 0.0754 
-11.1906 0.0679 -10.6850 0.0483 
-11.2182 0.0681 -10.7085 0.0673 
-11.2393 0.0685 -10.7166 0.0352 
-11.2547 0.0694 -10.7456 0.0606 
-10.7605 0.1110 -10.4299 0.1536 
-10.7698 0.1102 -10.4049 0.1477 
-10.7828 0.1077 -10.4004 0.1445 
-10.7955 0.1044 -10.3787 0.1419 
-10.8133 0.1018 -10.3596 0.1400 
-10.8569 0.0993 -10.3503 0.1387 
-10.9074 0.0966 -10.3641 0.1347 
-10.9528 0.0944 -10.3877 0.1433 
-10.9963 0.0927 -10.4134 0.1375 
-11.0488 0.0908 -10.4555 0.1443 
-11.1025 0.0896 -10.4749 0.1518 
-11.2055 0.0871 -10.5019 0.1408 
-11.2365 0.0857 -10.5108 0.1366 
-11.2733 0.0839 -10.5213 0.1417 
-11.3315 0.0793 -10.5400 0.1507 
-11.3540 0.0768 -10.5478 0.1394 
-11.1171 0.1050 -10.4446 0.0343 
-11.0359 0.1043 -10.3520 0.0298 
-11.0237 0.1032 -10.2786 0.0524 
-11.0289 0.1016 -10.3029 0.0320 
-11.0242 0.0997 -10.3399 0.0393 
-11.0235 0.0973 -10.3780 0.0273 
-11.0236 0.0945 -10.4176 0.0291 
-11.0322 0.0936 -10.4461 0.0328 
-11.0504 0.0940 -10.4689 0.0433 
-11.0629 0.0927 -10.4719 0.0493 
-11.0693 0.0899 -10.4783 0.0593 
-11.0701 0.0861 -10.4905 0.0773 
-11.0643 0.0818 -10.4861 0.0763 
-11.0653 0.0791 -10.4810 0.0527 
-11.0682 0.0775 -10.4870 0.0289 
-11.0670 0.0757 -10.4867 0.0321 
-11.0667 0.0738 -10.4897 0.0527 
-11.0696 0.0723 -10.4906 0.0751 
-11.0753 0.0710 -10.4955 0.0834 
-11.0866 0.0701 -10.5084 0.0826 
-11.1055 0.0697 -10.5203 0.0780 
-11.1299 0.0695 -10.5397 0.0741 
-11.1616 0.0696 -10.5579 0.0788 
-11.1999 0.0698 -10.5684 0.0735 
-11.2390 0.0702 -10.5689 0.0671 
-11.2786 0.0707 -10.5931 0.0790 
-10.0746 0.1083 -9.8774 0.1357 
-10.3355 0.1049 -9.9803 0.1325 
-10.5203 0.0993 -10.0970 0.1325 
-10.6746 0.0935 -10.2394 0.1328 
-10.7851 0.0894 -10.3704 0.1329 
-10.8567 0.0829 -10.4587 0.1340 
-10.9267 0.0776 -10.4973 0.1357 
-11.0009 0.0757 -10.4714 0.1355 
-11.0396 0.0720 -10.4957 0.1349 
-11.0673 0.0696 -10.5248 0.1327 
-11.1108 0.0687 -10.5519 0.1325 
-11.1508 0.0682 -10.5800 0.1325 
-11.1996 0.0680 -10.6115 0.1330 
-11.2486 0.0679 -10.6495 0.1336 
-11.2971 0.0679 -10.6917 0.1374 
-11.3409 0.0678 -10.7275 0.1419 
-11.3808 0.0678 -10.7662 0.1434 
-11.4277 0.0678 -10.8098 0.1463 
-11.4816 0.0678 -10.8844 0.1342 
-11.5349 0.0679 -10.9054 0.1357 
-11.5806 0.0679 -10.8820 0.1540 
-11.6257 0.0680 -10.9064 0.1388 
-10.7759 0.1086 -10.2843 0.1769 
-10.8031 0.1086 -10.2862 0.1858 
-10.8145 0.1077 -10.3066 0.1736 
-10.8354 0.1037 -10.2901 0.1731 
-10.8727 0.1027 -10.2903 0.1729 
-10.9199 0.1028 -10.2206 0.1774 
-10.9634 0.1018 -10.2504 0.1828 
-10.9948 0.0977 -10.3041 0.1815 
-11.0366 0.0959 -10.3651 0.1721 
-11.0820 0.0945 -10.4109 0.1750 
-11.1025 0.0760 -10.4286 0.1891 
-11.1701 0.0706 -10.4979 0.1723 
-11.2599 0.0706 -10.5035 0.1827 
-11.2965 0.0703 -10.4949 0.1772 
-11.3436 0.0706 -10.5213 0.1702 
-11.3943 0.0710 -10.5548 0.1707 
-9.3303 0.1085 -9.3777 0.0617 
-9.3361 0.1085 -9.3779 0.0577 
-9.3500 0.1085 -9.1581 0.0508 
-9.3808 0.1085 -9.2096 0.0495 
-9.4372 0.1084 -9.2827 0.0490 
-9.9483 0.1069 -9.7946 0.0463 
-10.2422 0.1034 -10.0317 0.0510 
-10.4318 0.0996 -10.1956 0.0463 
-10.5449 0.0946 -10.2973 0.0445 
-10.6866 0.0916 -10.3966 0.0465 
-10.8385 0.0904 -10.4894 0.0475 
-10.9536 0.0880 -10.5436 0.0448 
-11.0271 0.0820 -10.5973 0.0561 
-8.7300 0.0947 -8.7147 0.0496 
-9.0517 0.0791 -9.2882 0.0585 
-9.1532 0.0860 -9.3472 0.0339 
-9.3170 0.0882 -9.4129 0.0278 
-9.4626 0.0893 -9.5042 0.0269 
-9.5823 0.0903 -9.5692 0.0265 
-9.6788 0.0912 -9.6315 0.0252 
-9.7720 0.0914 -9.6782 0.0255 
-9.8415 0.0916 -9.7256 0.0251 
-9.9253 0.0904 -9.7654 0.0243 
