table
Name          RA        Dec      Vh
00140+3555    3.4875  35.92055555555555  151.35714285714286
00140+0120N   3.5245833333333336  1.3322222222222222  191.52857142857144
00142+0647    3.5395833333333333  6.798055555555555  56.65714285714286
00142+0026    3.55  0.43333333333333335  191.97142857142856
00142+1204    3.55  12.066666666666666  16.228571428571428
00142+2920    3.560833333333333  29.336944444444445  98.5
00143+2215    3.575  22.25  76.87142857142857
00143+2735    3.575  27.583333333333332  130.75714285714287
00143+2737    3.575  27.616666666666667  63.7
00144+2940    3.609166666666667  29.663055555555555  138.42857142857142
00144+4153    3.6125  41.88361111111111  72.44285714285714
00147+2956    3.66875  29.93611111111111  89.88571428571429
00147+0627    3.6870833333333337  6.445555555555556  80.72857142857143
00148+1747    3.7  17.810277777777777  77.75714285714285
00149+2559    3.725  25.983333333333334  106.51428571428572
00149-0114    3.725  -3.4333333333333336  76.94285714285714
00150+2956    3.75  29.933333333333334  69.05714285714286
00150+2423    3.77375  24.389722222222222  86.38571428571429
N  63         3.795  11.171666666666667  16.571428571428573
00153+0003    3.825  0.05  76.72857142857143
00153+2417    3.849583333333334  24.284166666666668  83.51428571428572
00154+2911    3.85  29.183333333333334  98.05714285714286
A0015+1254    3.8979166666666667  12.912777777777778  59.01428571428571
N  68         3.923333333333333  29.794444444444448  82.88571428571429
00157+1906    3.929583333333333  19.116666666666667  77.45714285714286
00157+4827    3.935833333333333  48.45333333333333  75.35714285714286
N  70         3.940833333333333  29.803055555555556  102.38571428571429
N  71         3.9458333333333333  29.78527777777778  96.71428571428571
00158+4943    3.9462499999999996  49.72083333333334  75.47142857142858
00158+1814    3.95  18.233333333333334  74.64285714285714
N  72         3.9658333333333333  29.7625  100.51428571428572
N  72A        3.9899999999999998  29.758333333333333  99.17142857142858
00160+7926    3.99375  79.41722222222222  155.42857142857142
I   7         4.05  10.333333333333334  76.67142857142858
00161+4744    4.057083333333334  47.73861111111111  73.04285714285714
00164+2312    4.1  23.2  63.77142857142857
00165+1907    4.1033333333333335  19.119444444444444  76.48571428571428
00165+1528    4.125  15.466666666666667  158.18571428571428
N  75         4.2  6.166666666666667  82.85714285714286
00169+4658    4.230833333333334  46.96361111111111  74.17142857142858
N  76         4.25375  29.657777777777778  105.27142857142857
I1540         4.3  23.5  83.34285714285714
00173+1942    4.325  19.7  111.52857142857142
I1541         4.35  21.733333333333334  84.65714285714286
00175+0612E   4.36875  6.186111111111112  145.15714285714284
I  10         4.422916666666667  59.01444444444444  0
I  13         4.440833333333333  7.423611111111112  81.58571428571429
N  78A        4.45  0.55  71.85714285714286
N  78B        4.472916666666666  0.5555555555555556  78.3
00179+4710    4.475833333333333  47.1575  73.37142857142857
I1542         4.522083333333333  22.31527777777778  105.02857142857142
00182+1945    4.5529166666666665  19.75638888888889  109.85714285714286
00182+2115    4.565416666666667  21.259166666666665  84.65714285714286
I1543         4.5825  21.58833333333333  79.5
N  79         4.6  22.3  78.42857142857143
00185+2614    4.624583333333334  26.235555555555557  166.64285714285714
00185+2657    4.6329166666666675  26.934444444444445  131.72857142857143
N  80         4.646249999999999  22.080833333333334  81.4
00186+2922    4.65  29.366666666666667  132.0142857142857
00186+3011    4.65  30.183333333333334  66.84285714285714
I1544         4.6691666666666665  22.81361111111111  81.62857142857143
00187+3014    4.675  30.22972222222222  67.32857142857142
