z ra dec
0.0525384 54.5165785 37.4839546
0.0574488 52.5394581 38.2460902
0.0574679 52.6073236 38.2526881
0.0574743 52.5742250 37.6855193
0.0593837 57.8432591 42.2690350
0.0435466 25.9394878 34.1758001
0.0490854 30.2301715 34.8439276
0.0481732 33.7014914 35.2463356
0.0569504 30.9310660 45.1540504
0.0575976 33.3062808 44.3217464
0.0621685 22.6595942 48.5844455
0.0576481 10.4362703 46.0999836
0.0263236 89.8521912 65.9387368
0.0488735 60.1530963 3.5565117
0.0516633 57.7538187 4.6877731
0.0501821 56.9861627 9.5935082
0.0433433 36.5210137 11.6608302
0.0498210 37.1601500 26.4270992
0.0594058 34.4924083 46.3027058
0.0479130 17.4196840 29.4708559
0.0470731 18.0807453 29.5084321
0.0567166 16.8078023 44.5335817
0.0570329 11.0493558 45.0898537
0.0619605 12.9797326 49.2583516
0.0620357 12.9569748 49.3034431
0.0620628 13.0084098 49.2928148
0.0449487 46.7793142 6.8050996
0.0446704 44.5483467 12.3308058
0.0593476 46.9825381 34.1856309
0.0632196 44.8928055 37.4958684
0.0631599 44.9274147 37.5080708
0.0465406 27.1002805 21.1931743
0.0473940 27.1696109 18.8532395
0.0474262 27.2537736 18.9048383
0.0645840 24.3013871 48.1978052
0.0605463 50.2022678 29.2825008
0.0639142 51.5540997 31.1892115
0.0681271 51.4809113 39.6387070
0.0691927 51.7777358 37.6295944
0.0707671 52.4370765 38.6070191
0.0572270 35.5403677 32.7964786
0.0503518 89.7919655 45.1401032
0.0504694 39.8861355 3.5736071
0.0544457 43.3670464 7.6551955
0.0727690 27.0380523 16.6485167
0.0780532 26.5981820 21.3464970
0.0894320 26.9899075 30.5098069
0.0716423 15.2066024 1.4396093
0.0745395 15.1139075 10.9127119
0.0749509 13.1452987 18.3919142
0.0800543 15.6791978 24.4686933
0.0859035 15.0144521 25.5223370
0.0864507 15.2059255 25.3593701
0.0882073 17.5710959 32.5626129
0.0829101 2.0929551 18.3417487
0.0760830 35.0874248 6.1880798
0.0875166 32.0448336 23.6434249
0.0916008 33.3000079 31.5924324
0.0807049 20.6009245 5.4831673
0.0851058 21.5472041 21.4660211
0.0880250 21.3188631 23.9433299
0.0817945 9.6665354 16.7120665
0.0883427 8.0090165 21.1374773
0.0883604 8.0265625 21.1733391
0.0880601 10.4989772 21.2527732
0.0933869 9.5678633 30.0029177
0.0813883 25.9850113 9.2548009
